job title,location,company name,job experience
Architecture Technical Office Engineer,"Cairo, Egypt",TIC -,"Full Time
On-site
Experienced · 3 - 6 Yrs of Exp · Engineering - Construction/Civil/Architecture ·
Architecture Engineering
· Construction
·
Engineering
· Revit
· Sketchup
· Software
· Architecture
· AutoCAD"
Senior Contracts & Procurement Engineer,"Cairo, Egypt",Mashareq -,"Full Time
On-site
Experienced · 6 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Purchasing/Procurement
· Construction
· Procurement
·
Civil Engineering"
Senior MEP Procurement Engineer,"Cairo, Egypt",REDCON Construction Co. S.A.E -,"Full Time
On-site
Experienced · 5 - 8 Yrs of Exp · Engineering - Construction/Civil/Architecture · Logistics/Supply Chain · Purchasing/Procurement
· Construction
· MEP
· Procurement
·
Mechanical Engineering
· purchasing
· MEP procurement
· Procurement Management"
TQM and Manufacturing Excellence Engineer,"10th of Ramadan City, Cairo, Egypt",Confidential -,"Full Time
On-site
Experienced · 5 - 7 Yrs of Exp · Manufacturing/Production · Quality · Engineering - Mechanical/Electrical ·
Engineering
· Manufacturing
· Six Sigma
· Quality Management
· TQM"
Electrical Engineer,"Abu Rawash, Giza, Egypt",International co for Electrical & Electronic Industries Electro George -,"Full Time
On-site
Senior Management · 2 - 6 Yrs of Exp · Engineering - Mechanical/Electrical · Engineering - Oil & Gas/Energy · Engineering - Other
· Design
· Electrical
·
Electrical Engineering
· Electrical manufacturing
·
Mechanical Engineering
·
Engineering
· Safety"
Architecture Technical Office Engineer,"Nasr City, Cairo, Egypt",شركه طنطا موتورز -,"Full Time
On-site
Experienced · 7 - 9 Yrs of Exp · Engineering - Construction/Civil/Architecture ·
Technical Office Engineering
· Architectural Design"
Technical Sales Engineer,"6th of October, Giza, Egypt",log valve -,"Full Time
On-site
Experienced · 1 - 3 Yrs of Exp · Sales/Retail
· Procurement
·
Engineering"
Senior Instrument Engineer,"Heliopolis, Cairo, Egypt",Micro Engineering -,"Full Time
On-site
Experienced · 5 - 7 Yrs of Exp · Engineering - Mechanical/Electrical ·
Computer Engineering
·
Engineering
· Communication skills
· Software Development"
Software Quality Control Engineer,"Maadi, Cairo, Egypt",Expert Apps -,"Full Time
Hybrid
Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology
· Quality Assurance
· Performance Testing
· Performance
· Automation Testing
· Integration
· Functional Testing
· Testing"
Civil Technical Office Engineer- Alexanderia,"Bourj Alarab, Alexandria, Egypt",Confidential -,"Full Time
On-site
Experienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Creative/Design/Art ·
Civil Engineering
· Steel
·
Engineering
· Construction
· AutoCAD
·
engineer
· Tekla
· Microsoft Office"
Technical Support Engineer,"6th of October, Giza, Egypt",Midea Group -,"Full Time
On-site
Experienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· CCNA
· Computer Science
· English
· Hardware
· Information Technology (IT)
· MCSA
· Maintenance"
"Data Analyst -Internship ""Alexandria""","Alexandria, Egypt",Egyptian Abrasives Co. -,"Internship
On-site
Student · Analyst/Research · Engineering - Telecom/Technology
· Analysis
·
Data Analysis
· Information Technology (IT)
· Computer Science
· Training
· Communication"
Senior Pre-sales Engineer (Software Background),"6th of October, Giza, Egypt",Lumin -,"Full Time
On-site
Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Other
· Architecture
· Presales
· sales skills
· Sales Target
· Software
· Communication
· Communication skills"
Heavy & Light Trucks Maintenance Engineer,"Cairo, Egypt",Reliance Egypt -,"Full Time
On-site
Experienced · 2 - 4 Yrs of Exp · Engineering - Mechanical/Electrical
· Fleet Maintenance
·
Engineering
·
Mechanical Engineering
· Trucking"
Cost Engineer,"Heliopolis, Cairo, Egypt",Segment interior design -,"Full Time
On-site
Experienced · 3 - 6 Yrs of Exp · Engineering - Construction/Civil/Architecture · Project/Program Management · Engineering - Other
· Architecture
· Cost Control
· Cost
·
Architecture Engineering
·
Engineering"
cost estimation Engineer,"Obour City, Cairo, Egypt",Delta Egypt For Lighting -,"Full Time
On-site
Experienced · 3 - 5 Yrs of Exp · Engineering - Mechanical/Electrical
· Mechanical
·
Engineering
· Electrical
· Manufacturing Industry"
Senior Contracts engineer,"Cairo, Egypt",REDCON Construction Co. S.A.E -,"Full Time
On-site
Experienced · 5 - 8 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical
· Contracts
· Communication
· Claims Management
· Contracts Management
· FIDIC
· Contract Lifecycle and Administration Control
· clac"
Planning Engineer,"Kafr Aldawar, Beheira, Egypt",Protection -,"Full Time
Hybrid
Entry Level · 2 - 6 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Engineering - Other
· Planning
· Civil
· Primavera
· Project Management
· Construction
·
Engineering
· Management"
Senior Network Engineer,"Heliopolis, Cairo, Egypt",Confidential -,"Full Time
On-site
Experienced · 3 - 5 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology
· CCNP
· Cisco
· Computer Science
· Information Technology (IT)
· Network
· Networking
· Vmware
· Troubleshooting"
Senior Network & Security Engineer,"New Capital, Cairo, Egypt",Universities of Canada in Egypt -,"Full Time
On-site
Experienced · 5 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· CCNA
· CCNP
· Cisco
·
Computer Engineering
· Computer Science
·
Engineering
· Information Technology (IT)"
Senior Google workspace Engineer,"Cairo, Egypt",Cloud11 -,"Full Time
Hybrid
Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· Communication
· Integration
· Security
· Troubleshooting
·
Engineering
· Computer Science
· Automation"
